IDENTIFIER,STRAIN,SPECIES,PH3_GROWTH,SIMPLE_ENV_INFO
Y-2504,NRRL_Y-2504,Rhodotorula dairenensis,0,soil
7W-292-3,TFCN_7W-292-3,Rhodotorula dairenensis,1,marsh_tidalflat
3768,DBVPG_3768,Rhodotorula dairenensis,0.5,soil
3770,DBVPG_3770,Rhodotorula dairenensis,1,soil
3853,DBVPG_3853,Rhodotorula dairenensis,1,plant
3769,DBVPG_3769,Rhodotorula dairenensis,0,soil
3771,DBVPG_3771,Rhodotorula dairenensis,0,soil
3772,DBVPG_3772,Rhodotorula dairenensis,1,soil
3773,DBVPG_3773,Rhodotorula dairenensis,0,soil
